elapsed_time,movement_counter,adjusted_acceleration,max_acceleration,adjusted_spin,direction_change,direction_change_signal,ball_pos_x,ball_pos_y,ball_pos_z,ball_distance_traveled,movement_time,speed,is_goal
0.0,0,0.0,0.0014439820482206002,1.586914,1,0,1763.0,330.0,-1809.0,0.0,0.0,0.0,0
0.042,0,0.0,0.0014439820482206002,1.586914,0,0,1763.0,330.0,-1809.0,0.0,0.0,0.0,0
0.043,0,0.0014439820482206002,0.0014439820482206002,1.586914,0,0,1763.0,330.0,-1809.0,0.0,0.0,0.0,0
0.087,0,-0.00037440527951189997,0.0014439820482206002,1.586914,0,0,1763.0,330.0,-1809.0,0.0,0.0,0.0,0
0.088,0,-0.00037440527951189997,0.0014439820482206002,0.12207000000000012,1,0,1763.0,330.0,-1809.0,0.0,0.0,0.0,0
0.116,1,-0.00037440527951189997,0.0006302081679015999,0.12207000000000012,0,0,1791.0,340.0,-1779.0,0.03,0.116,0.931,0
0.12,1,-0.00037440527951189997,0.0006302081679015999,0.12207000000000012,0,0,1791.0,340.0,-1779.0,0.0,0.116,0.931,0
0.131,1,-0.00037440527951189997,0.0006302081679015999,0.12207000000000012,0,0,1791.0,340.0,-1779.0,0.0,0.116,0.931,0
0.132,1,-0.0004626964016012,0.0006302081679015999,0.12207000000000012,0,0,1791.0,340.0,-1779.0,0.0,0.116,0.931,0
0.176,1,-0.0004626964016012,0.0006302081679015999,0.12207000000000012,0,0,1791.0,340.0,-1779.0,0.0,0.116,0.931,0
0.177,1,-3.6261591919499984e-05,0.0006302081679015999,0.24414099999999994,1,1,1791.0,340.0,-1779.0,0.0,0.116,0.931,0
0.189,1,-3.6261591919499984e-05,0.0006302081679015999,0.24414099999999994,0,1,1818.0,354.0,-1745.0,0.03,0.073,0.931,0
0.222,1,0.0006302081679015999,0.0006302081679015999,0.24414099999999994,0,0,1818.0,354.0,-1745.0,0.0,0.073,0.931,0
0.229,1,0.0006302081679015999,0.0006302081679015999,0.24414099999999994,0,0,1818.0,354.0,-1745.0,0.0,0.073,0.931,0
0.266,1,-0.0004897322525705,0.0006302081679015999,0.24414099999999994,0,0,1818.0,354.0,-1745.0,0.0,0.073,0.931,0
0.267,1,-0.0004897322525705,0.0006302081679015999,0.24414099999999994,0,0,1818.0,354.0,-1745.0,0.0,0.073,0.931,0
0.27,1,-0.0004897322525705,0.0006302081679015999,0.24414099999999994,0,0,1818.0,354.0,-1745.0,0.0,0.073,0.931,0
0.311,1,-6.749827684239998e-05,0.0006302081679015999,0.24414099999999994,0,0,1818.0,354.0,-1745.0,0.0,0.073,0.931,0
0.312,1,-6.749827684239998e-05,0.0006302081679015999,0.24414099999999994,0,0,1818.0,354.0,-1745.0,0.0,0.073,0.931,0
0.336,2,-6.749827684239998e-05,0.00029822331429040004,0.24414099999999994,0,0,1840.0,339.0,-1719.0,0.027,0.147,0.9327,0
0.356,2,-0.00024911355063499997,0.00029822331429040004,0.24414099999999994,0,0,1840.0,339.0,-1719.0,0.0,0.147,0.9327,0
0.357,2,-0.00024911355063499997,0.00029822331429040004,0.24414099999999994,0,0,1840.0,339.0,-1719.0,0.0,0.147,0.9327,0
0.376,2,-0.00024911355063499997,0.00029822331429040004,0.24414099999999994,0,0,1840.0,339.0,-1719.0,0.0,0.147,0.9327,0
0.401,2,0.00029822331429040004,0.00029822331429040004,0.24414099999999994,0,0,1840.0,339.0,-1719.0,0.0,0.147,0.9327,0
0.402,2,0.00029822331429040004,0.00029822331429040004,0.24414099999999994,0,0,1840.0,339.0,-1719.0,0.0,0.147,0.9327,0
0.491,2,8.084430034457235e-05,0.00029822331429040004,0.24414099999999994,0,0,1840.0,339.0,-1719.0,0.0,0.147,0.9327,0
0.492,2,8.084430034457235e-05,0.00029822331429040004,0.24414099999999994,0,0,1840.0,339.0,-1719.0,0.0,0.147,0.9327,0
0.493,2,0.0001816147234854003,0.00029822331429040004,0.24414099999999994,0,0,1840.0,339.0,-1719.0,0.0,0.147,0.9327,0
0.494,2,0.0001816147234854003,0.00029822331429040004,0.24414099999999994,0,0,1840.0,339.0,-1719.0,0.0,0.147,0.9327,0
0.536,2,0.0001816147234854003,0.00029822331429040004,0.24414099999999994,0,0,1840.0,339.0,-1719.0,0.0,0.147,0.9327,0
0.537,2,-0.000175115825464,0.00029822331429040004,0.24414099999999994,0,0,1840.0,339.0,-1719.0,0.0,0.147,0.9327,0
0.562,3,-0.000175115825464,0.0011525472139147,0.24414099999999994,0,0,1846.0,342.0,-1709.0,0.007,0.226,0.1115,0
0.569,3,-0.000175115825464,0.0011525472139147,0.24414099999999994,0,0,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.581,3,-0.000175115825464,0.0011525472139147,0.24414099999999994,0,0,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.626,3,0.0005581634097868,0.0011525472139147,0.24414099999999994,0,0,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.627,3,0.0005581634097868,0.0011525472139147,0.24414099999999994,0,0,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.671,3,0.0011525472139147,0.0011525472139147,0.24414099999999994,0,1,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.672,3,0.0011525472139147,0.0011525472139147,0.24414099999999994,0,1,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.678,3,0.0011525472139147,0.0011525472139147,0.24414099999999994,0,1,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.716,3,0.0007741602464342999,0.0011525472139147,0.6713870000000002,1,1,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.717,3,0.0007741602464342999,0.0011525472139147,0.6713870000000002,0,1,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.761,3,0.0006179287901027001,0.0011525472139147,1.098633,1,0,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.762,3,0.0006179287901027001,0.0011525472139147,1.098633,0,0,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.792,3,0.0006179287901027001,0.0011525472139147,1.098633,0,0,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.807,3,-0.0007969542401515999,0.0011525472139147,1.098633,0,0,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.808,3,-0.0007969542401515999,0.0011525472139147,0.4272459999999998,1,1,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.851,3,-0.0003310651389621,0.0011525472139147,0.4272459999999998,0,1,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.852,3,-0.0003310651389621,0.0011525472139147,0.4272459999999998,0,1,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.87,3,-0.0003310651389621,0.0011525472139147,0.4272459999999998,0,1,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.897,3,0.0002162034646023,0.0011525472139147,0.4272459999999998,0,1,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.898,3,0.0002162034646023,0.0011525472139147,0.4272459999999998,0,1,1846.0,342.0,-1709.0,0.0,0.226,0.1115,0
0.941,4,0.0002162034646023,0.0002162034646023,0.4272459999999998,0,0,1844.0,348.0,-1723.0,0.006,0.379,0.057,0
0.942,4,-0.0011237596812882,0.0002162034646023,0.4272459999999998,0,0,1844.0,348.0,-1723.0,0.0,0.379,0.057,0
0.943,4,-0.0011237596812882,0.0002162034646023,0.4272459999999998,0,0,1844.0,348.0,-1723.0,0.0,0.379,0.057,0
0.982,4,-0.0011237596812882,0.0002162034646023,0.4272459999999998,0,0,1844.0,348.0,-1723.0,0.0,0.379,0.057,0
0.987,4,-0.00010791430677379999,0.0002162034646023,0.3051750000000002,1,1,1844.0,348.0,-1723.0,0.0,0.379,0.057,0
0.987,4,-0.0036671773615753003,0.0002162034646023,0.3051750000000002,0,1,1844.0,348.0,-1723.0,0.0,0.379,0.057,0
1.011,4,-0.0036671773615753003,0.0002162034646023,0.3051750000000002,0,0,1842.0,364.0,-1714.0,0.016,0.07,0.057,0
1.051,5,-0.0036671773615753003,0.0,0.3051750000000002,0,0,1864.0,363.0,-1704.0,0.022,0.04,1.2436,0
1.088,5,-0.0036671773615753003,0.0,0.3051750000000002,0,0,1864.0,363.0,-1704.0,0.0,0.04,1.2436,0
1.122,5,-0.0036671773615753003,0.0,0.3051750000000002,0,1,1864.0,363.0,-1704.0,0.0,0.04,1.2436,0
1.123,5,-0.0035241560287463,0.0,0.24414099999999994,1,1,1864.0,363.0,-1704.0,0.0,0.04,1.2436,0
1.166,5,-0.0035241560287463,0.0,0.24414099999999994,0,1,1864.0,363.0,-1704.0,0.0,0.04,1.2436,0
1.204,6,-0.0035241560287463,0.0909537580839064,0.24414099999999994,0,1,1860.0,360.0,-1701.0,0.005,0.153,0.1176,0
1.207,6,-0.0035241560287463,0.0909537580839064,0.24414099999999994,0,1,1860.0,360.0,-1701.0,0.0,0.153,0.1176,0
1.211,6,0.0909537580839064,0.0909537580839064,6.042481,1,1,1860.0,360.0,-1701.0,0.0,0.153,0.1176,0
1.213,6,0.0909537580839064,0.0909537580839064,6.042481,0,1,1860.0,360.0,-1701.0,0.0,0.153,0.1176,0
1.256,6,0.078219818399508,0.0909537580839064,6.042481,0,1,1860.0,360.0,-1701.0,0.0,0.153,0.1176,0
1.257,6,0.078219818399508,0.0909537580839064,6.042481,0,1,1860.0,360.0,-1701.0,0.0,0.153,0.1176,0
1.282,6,0.078219818399508,0.0909537580839064,6.042481,0,1,1860.0,360.0,-1701.0,0.0,0.153,0.1176,0
1.39,7,0.078219818399508,0.078219818399508,6.042481,0,0,1864.0,345.0,-1712.0,0.016,0.186,0.3097,0
1.391,7,-0.0233753121295386,0.078219818399508,6.042481,0,0,1864.0,345.0,-1712.0,0.0,0.186,0.3097,0
1.392,7,-0.0233753121295386,0.078219818399508,1.5869140000000002,1,0,1851.0,331.0,-1734.0,0.019,0.002,0.3097,0
1.393,7,-0.0233753121295386,0.078219818399508,1.5869140000000002,0,0,1834.0,331.0,-1746.0,0.017,0.001,0.3097,0
1.395,7,-0.0233753121295386,0.078219818399508,1.5869140000000002,0,0,1834.0,331.0,-1746.0,0.0,0.001,0.3097,0
1.437,7,-0.0527659714505352,0.078219818399508,1.5869140000000002,0,0,1834.0,331.0,-1746.0,0.0,0.001,0.3097,0
1.455,7,-0.0527659714505352,0.078219818399508,1.5869140000000002,0,0,1834.0,331.0,-1746.0,0.0,0.001,0.3097,0
1.503,8,-0.0527659714505352,0.0,1.5869140000000002,0,0,1847.0,328.0,-1764.0,0.013,0.11,1.5611,0
1.534,8,-0.0527659714505352,0.0,1.5869140000000002,0,0,1845.0,323.0,-1759.0,0.005,0.031,1.5611,0
1.542,8,-0.0527659714505352,0.0,1.5869140000000002,0,0,1838.0,314.0,-1743.0,0.011,0.008,1.5611,0
1.571,8,-0.0527659714505352,0.0,1.5869140000000002,0,0,1832.0,329.0,-1733.0,0.016,0.029,1.5611,0
1.572,8,-0.0527659714505352,0.0,1.5869140000000002,0,1,1832.0,329.0,-1733.0,0.0,0.029,1.5611,0
1.573,8,-0.0216661658501118,0.0,1.5869140000000002,0,1,1832.0,329.0,-1733.0,0.0,0.029,1.5611,0
1.58,8,-0.0216661658501118,0.0,1.5869140000000002,0,1,1832.0,329.0,-1733.0,0.0,0.029,1.5611,0
1.61,9,-0.0216661658501118,0.0,1.5869140000000002,0,1,1787.0,335.0,-1768.0,0.045,0.039,2.5907,0
1.662,9,-0.0046978236665023,0.0,1.5869140000000002,0,1,1787.0,335.0,-1768.0,0.0,0.039,2.5907,0
1.663,9,-0.0046978236665023,0.0,10.864257,1,1,1787.0,335.0,-1768.0,0.0,0.039,2.5907,0
1.682,9,-0.0046978236665023,0.0,10.864257,0,1,1762.0,330.0,-1779.0,0.025,0.072,2.5907,0
1.693,9,-0.0046978236665023,0.0,10.864257,0,1,1762.0,330.0,-1779.0,0.0,0.072,2.5907,0
1.76,9,-0.0046978236665023,0.0,10.864257,0,1,1762.0,330.0,-1779.0,0.0,0.072,2.5907,0
1.796,9,-0.0046978236665023,0.0,10.864257,0,1,1762.0,330.0,-1779.0,0.0,0.072,2.5907,0
1.872,10,-0.0046978236665023,0.0163545445618841,10.864257,0,0,1733.0,350.0,-1814.0,0.035,0.19,0.8244,0
1.882,10,-0.0046978236665023,0.0163545445618841,10.864257,0,0,1733.0,350.0,-1814.0,0.0,0.19,0.8244,0
1.931,10,0.0015652991226019,0.0163545445618841,10.864257,0,0,1733.0,350.0,-1814.0,0.0,0.19,0.8244,0
1.932,10,0.0015652991226019,0.0163545445618841,10.864257,0,0,1733.0,350.0,-1814.0,0.0,0.19,0.8244,0
1.933,10,-0.0017400694819131,0.0163545445618841,10.864257,0,0,1733.0,350.0,-1814.0,0.0,0.19,0.8244,0
1.976,10,-0.0017400694819131,0.0163545445618841,10.864257,0,1,1733.0,350.0,-1814.0,0.0,0.19,0.8244,0
1.977,10,0.0163545445618841,0.0163545445618841,10.864257,0,1,1733.0,350.0,-1814.0,0.0,0.19,0.8244,0
1.985,10,0.0163545445618841,0.0163545445618841,10.864257,0,1,1733.0,350.0,-1814.0,0.0,0.19,0.8244,0
2.068,10,0.0163545445618841,0.0163545445618841,10.864257,0,1,1733.0,350.0,-1814.0,0.0,0.19,0.8244,0
2.088,11,0.0163545445618841,4.712847556240585,10.864257,0,1,1762.0,331.0,-1794.0,0.035,0.216,0.5833,0
2.111,11,0.0163545445618841,4.712847556240585,10.864257,0,1,1762.0,331.0,-1794.0,0.0,0.216,0.5833,0
2.156,11,4.712847556240585,4.712847556240585,10.864257,0,1,1762.0,331.0,-1794.0,0.0,0.216,0.5833,0
2.157,11,-0.6397947088225978,4.712847556240585,314.697266,1,1,1762.0,331.0,-1794.0,0.0,0.216,0.5833,0
2.163,11,-0.6397947088225978,4.712847556240585,314.697266,0,1,1723.0,331.0,-1836.0,0.039,0.075,0.5833,0
2.179,11,-0.6397947088225978,4.712847556240585,314.697266,0,1,1731.0,338.0,-1816.0,0.011,0.016,0.5833,0
2.182,11,-0.6397947088225978,4.712847556240585,314.697266,0,1,1731.0,338.0,-1816.0,0.0,0.016,0.5833,0
2.215,12,-0.6397947088225978,0.3929302556769232,314.697266,0,1,1733.0,314.0,-1813.0,0.024,0.036,2.0976,0
2.246,12,-0.6397947088225978,0.3929302556769232,65.85693400000002,1,1,1733.0,314.0,-1813.0,0.0,0.036,2.0976,0
2.247,12,0.3929302556769232,0.3929302556769232,0.7934569999999894,1,1,1733.0,314.0,-1813.0,0.0,0.036,2.0976,0
2.281,12,0.3929302556769232,0.3929302556769232,0.7934569999999894,0,1,1737.0,330.0,-1787.0,0.016,0.066,2.0976,0
2.291,12,0.0118636824558246,0.3929302556769232,0.7934569999999894,0,1,1737.0,330.0,-1787.0,0.0,0.066,2.0976,0
2.292,12,0.0118636824558246,0.3929302556769232,0.7934569999999894,0,1,1737.0,330.0,-1787.0,0.0,0.066,2.0976,0
2.294,12,0.0118636824558246,0.3929302556769232,0.7934569999999894,0,1,1737.0,330.0,-1787.0,0.0,0.066,2.0976,0
2.336,12,0.3310856168481009,0.3929302556769232,0.7934569999999894,0,1,1737.0,330.0,-1787.0,0.0,0.066,2.0976,0
2.337,12,0.3310856168481009,0.3929302556769232,0.7934569999999894,0,1,1737.0,330.0,-1787.0,0.0,0.066,2.0976,0
2.36,12,0.3310856168481009,0.3929302556769232,0.7934569999999894,0,1,1737.0,330.0,-1787.0,0.0,0.066,2.0976,0
2.403,13,0.3310856168481009,0.3310856168481009,0.7934569999999894,0,1,1726.0,291.0,-1789.0,0.041,0.122,1.0915,0
2.426,13,-0.0889718376596511,0.3310856168481009,0.7934569999999894,0,0,1726.0,291.0,-1789.0,0.0,0.122,1.0915,0
2.427,13,-0.0889718376596511,0.3310856168481009,0.7934569999999894,0,0,1726.0,291.0,-1789.0,0.0,0.122,1.0915,0
2.479,13,-0.0889718376596511,0.3310856168481009,0.7934569999999894,0,0,1726.0,291.0,-1789.0,0.0,0.122,1.0915,0
2.516,14,-0.0889718376596511,0.6615083611527014,0.7934569999999894,0,0,1729.0,304.0,-1766.0,0.013,0.113,0.4142,0
2.582,14,-0.0889718376596511,0.6615083611527014,0.7934569999999894,0,0,1710.0,345.0,-1749.0,0.045,0.066,0.4142,0
2.593,14,-0.0889718376596511,0.6615083611527014,0.7934569999999894,0,0,1710.0,345.0,-1749.0,0.0,0.066,0.4142,0
2.606,14,0.6615083611527014,0.6615083611527014,0.7934569999999894,0,0,1710.0,345.0,-1749.0,0.0,0.066,0.4142,0
2.607,14,0.6615083611527014,0.6615083611527014,0.7934569999999894,0,0,1710.0,345.0,-1749.0,0.0,0.066,0.4142,0
2.609,14,-0.6666917305940289,0.6615083611527014,0.7934569999999894,0,0,1710.0,345.0,-1749.0,0.0,0.066,0.4142,0
2.651,14,-0.6666917305940289,0.6615083611527014,0.7934569999999894,0,0,1710.0,345.0,-1749.0,0.0,0.066,0.4142,0
2.652,14,-0.32783163177739,0.6615083611527014,0.7934569999999894,0,0,1710.0,345.0,-1749.0,0.0,0.066,0.4142,0
2.67,14,-0.32783163177739,0.6615083611527014,0.7934569999999894,0,0,1710.0,345.0,-1749.0,0.0,0.066,0.4142,0
2.704,15,-0.32783163177739,0.5528065528126177,0.7934569999999894,0,0,1663.0,409.0,-1767.0,0.079,0.122,2.3745,0
2.742,15,-0.32783163177739,0.5528065528126177,0.7934569999999894,0,0,1663.0,409.0,-1767.0,0.0,0.122,2.3745,0
2.743,15,0.5528065528126177,0.5528065528126177,0.7934569999999894,0,0,1663.0,409.0,-1767.0,0.0,0.122,2.3745,0
2.744,15,0.5528065528126177,0.5528065528126177,0.7934569999999894,0,0,1663.0,409.0,-1767.0,0.0,0.122,2.3745,0
2.787,15,0.5528065528126177,0.5528065528126177,0.7934569999999894,0,0,1663.0,409.0,-1767.0,0.0,0.122,2.3745,0
2.788,15,-0.10203601746076829,0.5528065528126177,0.7934569999999894,0,0,1663.0,409.0,-1767.0,0.0,0.122,2.3745,0
2.815,16,-0.10203601746076829,0.412314720747903,0.7934569999999894,0,0,1658.0,510.0,-1811.0,0.101,0.111,3.2757,0
2.819,16,-0.10203601746076829,0.412314720747903,0.7934569999999894,0,0,1658.0,510.0,-1811.0,0.0,0.111,3.2757,0
2.831,16,-0.10203601746076829,0.412314720747903,0.7934569999999894,0,0,1658.0,510.0,-1811.0,0.0,0.111,3.2757,0
2.832,16,0.412314720747903,0.412314720747903,0.7934569999999894,0,0,1658.0,510.0,-1811.0,0.0,0.111,3.2757,0
2.876,16,0.412314720747903,0.412314720747903,0.7934569999999894,0,0,1658.0,510.0,-1811.0,0.0,0.111,3.2757,0
2.877,16,-0.1994627421827735,0.412314720747903,0.7934569999999894,0,0,1658.0,510.0,-1811.0,0.0,0.111,3.2757,0
2.88,16,-0.1994627421827735,0.412314720747903,0.7934569999999894,0,0,1527.0,544.0,-1858.0,0.135,0.065,3.2757,0
2.895,16,-0.1994627421827735,0.412314720747903,0.7934569999999894,0,0,1527.0,544.0,-1858.0,0.0,0.065,3.2757,0
2.921,16,-0.1399442838192706,0.412314720747903,0.7934569999999894,0,0,1527.0,544.0,-1858.0,0.0,0.065,3.2757,0
2.922,16,-0.1399442838192706,0.412314720747903,0.7934569999999894,0,0,1527.0,544.0,-1858.0,0.0,0.065,3.2757,0
2.967,16,-0.12783796992782528,0.412314720747903,0.7934569999999894,0,0,1527.0,544.0,-1858.0,0.0,0.065,3.2757,0
3.002,17,-0.12783796992782528,0.6838360756300234,0.7934569999999894,0,0,1489.0,569.0,-1833.0,0.045,0.122,3.4652,0
3.005,17,-0.12783796992782528,0.6838360756300234,0.7934569999999894,0,0,1489.0,569.0,-1833.0,0.0,0.122,3.4652,0
3.012,17,0.6838360756300234,0.6838360756300234,0.7934569999999894,0,0,1489.0,569.0,-1833.0,0.0,0.122,3.4652,0
3.057,17,0.6838360756300234,0.6838360756300234,0.7934569999999894,0,0,1489.0,569.0,-1833.0,0.0,0.122,3.4652,0
3.058,17,0.1622074181788218,0.6838360756300234,0.7934569999999894,0,0,1489.0,569.0,-1833.0,0.0,0.122,3.4652,0
3.072,17,0.1622074181788218,0.6838360756300234,0.7934569999999894,0,0,1489.0,569.0,-1833.0,0.0,0.122,3.4652,0
3.102,17,0.1622074181788218,0.6838360756300234,0.7934569999999894,0,0,1489.0,569.0,-1833.0,0.0,0.122,3.4652,0
3.103,17,0.0421719504186453,0.6838360756300234,0.7934569999999894,0,0,1489.0,569.0,-1833.0,0.0,0.122,3.4652,0
3.115,18,0.0421719504186453,0.3506550876224524,0.7934569999999894,0,0,1392.0,620.0,-1807.0,0.11,0.113,3.5044,0
3.147,18,0.0421719504186453,0.3506550876224524,0.7934569999999894,0,0,1392.0,620.0,-1807.0,0.0,0.113,3.5044,0
3.148,18,0.26449046263238807,0.3506550876224524,0.7934569999999894,0,0,1392.0,620.0,-1807.0,0.0,0.113,3.5044,0
3.181,18,0.26449046263238807,0.3506550876224524,0.7934569999999894,0,0,1336.0,677.0,-1792.0,0.08,0.066,3.5044,0
3.193,18,0.26449046263238807,0.3506550876224524,0.7934569999999894,0,0,1336.0,677.0,-1792.0,0.0,0.066,3.5044,0
3.237,18,0.26449046263238807,0.3506550876224524,0.7934569999999894,0,0,1336.0,677.0,-1792.0,0.0,0.066,3.5044,0
3.238,18,-0.6163992745197634,0.3506550876224524,0.7934569999999894,0,1,1336.0,677.0,-1792.0,0.0,0.066,3.5044,0
3.255,18,-0.6163992745197634,0.3506550876224524,0.7934569999999894,0,1,1336.0,677.0,-1792.0,0.0,0.066,3.5044,0
3.282,18,0.3506550876224524,0.3506550876224524,0.7934569999999894,0,1,1336.0,677.0,-1792.0,0.0,0.066,3.5044,0
3.303,19,0.3506550876224524,0.3589032878719798,0.7934569999999894,0,1,1268.0,739.0,-1830.0,0.092,0.122,3.2936,0
3.327,19,0.3589032878719798,0.3589032878719798,0.7934569999999894,0,1,1268.0,739.0,-1830.0,0.0,0.122,3.2936,0
3.328,19,0.3589032878719798,0.3589032878719798,0.7934569999999894,0,1,1268.0,739.0,-1830.0,0.0,0.122,3.2936,0
3.372,19,-0.3813428923898585,0.3589032878719798,0.7934569999999894,0,1,1268.0,739.0,-1830.0,0.0,0.122,3.2936,0
3.377,19,-0.3813428923898585,0.3589032878719798,0.7934569999999894,0,1,1268.0,739.0,-1830.0,0.0,0.122,3.2936,0
3.415,20,-0.3813428923898585,0.1513024519105717,0.7934569999999894,0,1,1176.0,796.0,-1856.0,0.108,0.112,3.4714,0
3.462,20,-0.3813428923898585,0.1513024519105717,0.7934569999999894,0,1,1176.0,796.0,-1856.0,0.0,0.112,3.4714,0
3.463,20,0.1115514345379896,0.1513024519105717,0.7934569999999894,0,0,1176.0,796.0,-1856.0,0.0,0.112,3.4714,0
3.464,20,0.1115514345379896,0.1513024519105717,0.7934569999999894,0,0,1176.0,796.0,-1856.0,0.0,0.112,3.4714,0
3.482,20,0.1115514345379896,0.1513024519105717,0.7934569999999894,0,0,1094.0,837.0,-1851.0,0.092,0.067,3.4714,0
3.494,20,0.1115514345379896,0.1513024519105717,0.7934569999999894,0,0,1094.0,837.0,-1851.0,0.0,0.067,3.4714,0
3.507,20,-0.21872951402978438,0.1513024519105717,0.7934569999999894,0,0,1094.0,837.0,-1851.0,0.0,0.067,3.4714,0
3.508,20,-0.21872951402978438,0.1513024519105717,0.7934569999999894,0,0,1094.0,837.0,-1851.0,0.0,0.067,3.4714,0
3.555,20,-0.21872951402978438,0.1513024519105717,0.7934569999999894,0,0,1094.0,837.0,-1851.0,0.0,0.067,3.4714,0
3.597,20,0.1513024519105717,0.1513024519105717,0.7934569999999894,0,0,1094.0,837.0,-1851.0,0.0,0.067,3.4714,0
3.598,20,0.1513024519105717,0.1513024519105717,0.7934569999999894,0,0,1094.0,837.0,-1851.0,0.0,0.067,3.4714,0
3.603,21,0.1513024519105717,0.1886140297615289,0.7934569999999894,0,0,1040.0,830.0,-1820.0,0.054,0.121,2.7957,0
3.642,21,-0.0706585996990661,0.1886140297615289,0.7934569999999894,0,0,1040.0,830.0,-1820.0,0.0,0.121,2.7957,0
3.643,21,-0.0706585996990661,0.1886140297615289,0.7934569999999894,0,0,1040.0,830.0,-1820.0,0.0,0.121,2.7957,0
3.668,21,-0.0706585996990661,0.1886140297615289,0.7934569999999894,0,0,1040.0,830.0,-1820.0,0.0,0.121,2.7957,0
3.687,21,0.1886140297615289,0.1886140297615289,0.7934569999999894,0,0,1040.0,830.0,-1820.0,0.0,0.121,2.7957,0
3.688,21,0.1886140297615289,0.1886140297615289,0.7934569999999894,0,0,1040.0,830.0,-1820.0,0.0,0.121,2.7957,0
3.716,22,0.1886140297615289,0.1886140297615289,0.7934569999999894,0,0,986.0,885.0,-1822.0,0.077,0.113,2.4531,0
3.732,22,-0.2709185569445933,0.1886140297615289,0.7934569999999894,0,0,986.0,885.0,-1822.0,0.0,0.113,2.4531,0
3.733,22,-0.2709185569445933,0.1886140297615289,0.7934569999999894,0,0,986.0,885.0,-1822.0,0.0,0.113,2.4531,0
3.777,22,0.0515488686683858,0.1886140297615289,0.7934569999999894,0,0,986.0,885.0,-1822.0,0.0,0.113,2.4531,0
3.778,22,0.0515488686683858,0.1886140297615289,0.7934569999999894,0,0,986.0,885.0,-1822.0,0.0,0.113,2.4531,0
3.793,22,0.0515488686683858,0.1886140297615289,0.7934569999999894,0,0,986.0,885.0,-1822.0,0.0,0.113,2.4531,0
3.822,22,0.14206779756732732,0.1886140297615289,0.7934569999999894,0,0,986.0,885.0,-1822.0,0.0,0.113,2.4531,0
3.823,22,0.14206779756732732,0.1886140297615289,0.7934569999999894,0,0,986.0,885.0,-1822.0,0.0,0.113,2.4531,0
3.828,23,0.14206779756732732,0.14206779756732732,0.7934569999999894,0,0,942.0,957.0,-1823.0,0.084,0.112,2.7,0
3.862,23,0.14206779756732732,0.14206779756732732,0.7934569999999894,0,0,942.0,957.0,-1823.0,0.0,0.112,2.7,0
3.877,23,-0.11611244469797809,0.14206779756732732,0.7934569999999894,0,0,942.0,957.0,-1823.0,0.0,0.112,2.7,0
3.903,23,-0.11611244469797809,0.14206779756732732,0.7934569999999894,0,0,892.0,1040.0,-1839.0,0.097,0.075,2.7,0
3.911,23,-0.11611244469797809,0.14206779756732732,0.7934569999999894,0,0,892.0,1040.0,-1839.0,0.0,0.075,2.7,0
3.982,23,-0.11611244469797809,0.14206779756732732,0.7934569999999894,0,0,892.0,1040.0,-1839.0,0.0,0.075,2.7,0
4.002,23,-0.09999985454412809,0.14206779756732732,0.7934569999999894,0,0,892.0,1040.0,-1839.0,0.0,0.075,2.7,0
4.053,24,-0.09999985454412809,0.6662182253933003,0.7934569999999894,0,0,928.0,1207.0,-1937.0,0.171,0.15,4.288,0
4.083,24,-0.09999985454412809,0.6662182253933003,0.7934569999999894,0,0,911.0,1180.0,-1913.0,0.032,0.03,4.288,0
4.092,24,-0.09999985454412809,0.6662182253933003,0.7934569999999894,0,0,911.0,1180.0,-1913.0,0.0,0.03,4.288,0
4.093,24,-0.0081186392427663,0.6662182253933003,0.7934569999999894,0,0,911.0,1180.0,-1913.0,0.0,0.03,4.288,0
4.094,24,-0.0081186392427663,0.6662182253933003,0.7934569999999894,0,0,911.0,1180.0,-1913.0,0.0,0.03,4.288,0
4.119,24,-0.0081186392427663,0.6662182253933003,0.7934569999999894,0,0,911.0,1180.0,-1913.0,0.0,0.03,4.288,0
4.137,24,0.5640766750231198,0.6662182253933003,0.7934569999999894,0,0,911.0,1180.0,-1913.0,0.0,0.03,4.288,0
4.138,24,0.5640766750231198,0.6662182253933003,125.12207000000001,1,1,911.0,1180.0,-1913.0,0.0,0.03,4.288,0
