ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.742,3.9365,8.3504,-1.3639,4.2939,8.7105,-0.4662,-0.035,-0.2916,-0.1889,-0.067,0.1193,7.58,34.35,-41.77,358.14,-27.01,8.62,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,15,2022-01-20 11:26:52:057
-1.742,3.9365,8.3504,-1.3639,4.2939,8.7105,-0.4662,-0.035,-0.2916,-0.1852,-0.0908,0.1815,7.58,34.35,-41.77,358.14,-27.01,8.62,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,20,2022-01-20 11:26:52:062
-1.742,3.9365,8.3504,-1.3639,4.2939,8.7105,-0.4662,-0.035,-0.2916,-0.1852,-0.0908,0.1815,7.58,34.35,-41.77,358.14,-27.01,8.62,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,26,2022-01-20 11:26:52:068
-1.742,3.9365,8.3504,-1.3639,4.2939,8.7105,-0.4662,-0.035,-0.2916,-0.1852,-0.0908,0.1815,7.58,34.35,-41.77,358.14,-27.01,8.62,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,31,2022-01-20 11:26:52:073
-1.6077,3.7591,8.6175,-1.3254,4.2029,8.7607,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.58,34.35,-41.77,358.14,-27.01,8.62,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,35,2022-01-20 11:26:52:077
-1.6077,3.7591,8.6175,-1.3254,4.2029,8.7607,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.58,34.35,-41.77,358.14,-27.01,8.62,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,40,2022-01-20 11:26:52:082
-1.6077,3.7591,8.6175,-1.3254,4.2029,8.7607,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.58,34.35,-41.77,358.14,-27.01,8.62,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,45,2022-01-20 11:26:52:087
-1.6077,3.7591,8.6175,-1.3254,4.2029,8.7607,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,50,2022-01-20 11:26:52:092
-1.6077,3.7591,8.6175,-1.3254,4.2029,8.7607,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,55,2022-01-20 11:26:52:097
-1.6077,3.7591,8.6175,-1.3254,4.2029,8.7607,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,60,2022-01-20 11:26:52:102
-1.6077,3.7591,8.6175,-1.3254,4.2029,8.7607,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,65,2022-01-20 11:26:52:107
-1.6077,3.7591,8.6175,-1.3254,4.2029,8.7607,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,70,2022-01-20 11:26:52:112
-1.6077,3.7591,8.6175,-1.3254,4.2029,8.7607,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,76,2022-01-20 11:26:52:118
-1.6077,3.7591,8.6175,-1.3254,4.2029,8.7607,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,80,2022-01-20 11:26:52:122
-1.6077,3.7591,8.6175,-1.3254,4.2029,8.7607,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,85,2022-01-20 11:26:52:127
-1.6077,3.7591,8.6175,-1.3254,4.2029,8.7607,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,90,2022-01-20 11:26:52:132
-1.0208,3.897,9.064,-1.2216,4.0935,8.8273,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,96,2022-01-20 11:26:52:138
-1.0208,3.897,9.064,-1.2216,4.0935,8.8273,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,101,2022-01-20 11:26:52:143
-1.0208,3.897,9.064,-1.2216,4.0935,8.8273,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,105,2022-01-20 11:26:52:147
-1.0208,3.897,9.064,-1.2216,4.0935,8.8273,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,110,2022-01-20 11:26:52:152
-1.0208,3.897,9.064,-1.2216,4.0935,8.8273,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,115,2022-01-20 11:26:52:157
-1.0208,3.897,9.064,-1.2216,4.0935,8.8273,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,121,2022-01-20 11:26:52:163
-1.0208,3.897,9.064,-1.2216,4.0935,8.8273,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,125,2022-01-20 11:26:52:167
-1.0208,3.897,9.064,-1.2216,4.0935,8.8273,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,130,2022-01-20 11:26:52:172
-1.0208,3.897,9.064,-1.2216,4.0935,8.8273,-0.4175,-0.0978,-0.1741,-0.1852,-0.0908,0.1815,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,135,2022-01-20 11:26:52:177
-1.0208,3.897,9.064,-1.2216,4.0935,8.8273,-0.4175,-0.0978,-0.1741,-0.0907,-0.0908,0.4065,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,140,2022-01-20 11:26:52:182
-1.0208,3.897,9.064,-1.2216,4.0935,8.8273,-0.4175,-0.0978,-0.1741,-0.0907,-0.0908,0.4065,7.5,34.5,-41.77,358.13,-25.38,8.6,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,146,2022-01-20 11:26:52:188
-1.0208,3.897,9.064,-1.2216,4.0935,8.8273,-0.4175,-0.0978,-0.1741,-0.0907,-0.0908,0.4065,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,150,2022-01-20 11:26:52:192
-1.0208,3.897,9.064,-1.2216,4.0935,8.8273,-0.4175,-0.0978,-0.1741,-0.0907,-0.0908,0.4065,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,155,2022-01-20 11:26:52:197
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.0907,-0.0908,0.4065,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,160,2022-01-20 11:26:52:202
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.0907,-0.0908,0.4065,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,165,2022-01-20 11:26:52:207
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.0907,-0.0908,0.4065,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,170,2022-01-20 11:26:52:212
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.0907,-0.0908,0.4065,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,175,2022-01-20 11:26:52:217
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.0907,-0.0908,0.4065,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,180,2022-01-20 11:26:52:222
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.0907,-0.0908,0.4065,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,185,2022-01-20 11:26:52:227
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.0907,-0.0908,0.4065,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,190,2022-01-20 11:26:52:232
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.0907,-0.0908,0.4065,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,195,2022-01-20 11:26:52:237
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.0907,-0.0908,0.4065,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,200,2022-01-20 11:26:52:242
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.0907,-0.0908,0.4065,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,205,2022-01-20 11:26:52:247
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.1746,-0.1523,0.7202,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,210,2022-01-20 11:26:52:252
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.1746,-0.1523,0.7202,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,215,2022-01-20 11:26:52:257
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.1746,-0.1523,0.7202,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,220,2022-01-20 11:26:52:262
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.1746,-0.1523,0.7202,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,225,2022-01-20 11:26:52:267
-0.7741,3.449,9.3239,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.1746,-0.1523,0.7202,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,231,2022-01-20 11:26:52:273
-0.4412,3.9174,8.2615,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.1746,-0.1523,0.7202,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,235,2022-01-20 11:26:52:277
-0.4412,3.9174,8.2615,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.1746,-0.1523,0.7202,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,241,2022-01-20 11:26:52:283
-0.4412,3.9174,8.2615,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.1746,-0.1523,0.7202,7.58,35.1,-41.93,357.5,-24.67,7.88,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,245,2022-01-20 11:26:52:287
-0.4412,3.9174,8.2615,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.1746,-0.1523,0.7202,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,250,2022-01-20 11:26:52:292
-0.4412,3.9174,8.2615,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.1746,-0.1523,0.7202,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,255,2022-01-20 11:26:52:297
-0.4412,3.9174,8.2615,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.1746,-0.1523,0.7202,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,260,2022-01-20 11:26:52:302
-0.4412,3.9174,8.2615,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.1746,-0.1523,0.7202,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,265,2022-01-20 11:26:52:307
-0.4412,3.9174,8.2615,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.1746,-0.1523,0.7202,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,270,2022-01-20 11:26:52:312
-0.4412,3.9174,8.2615,-1.0981,4.0656,8.8564,0.0437,-0.0852,0.3889,-0.1746,-0.1523,0.7202,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,275,2022-01-20 11:26:52:317
-0.4412,3.9174,8.2615,-0.5277,3.7349,9.0522,-0.3053,0.1184,0.1969,-0.949,-0.3076,1.0116,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,280,2022-01-20 11:26:52:322
-0.4412,3.9174,8.2615,-0.5277,3.7349,9.0522,-0.3053,0.1184,0.1969,-0.949,-0.3076,1.0116,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,286,2022-01-20 11:26:52:328
-0.4412,3.9174,8.2615,-0.5277,3.7349,9.0522,-0.3053,0.1184,0.1969,-0.949,-0.3076,1.0116,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,290,2022-01-20 11:26:52:332
-0.4412,3.9174,8.2615,-0.5277,3.7349,9.0522,-0.3053,0.1184,0.1969,-0.949,-0.3076,1.0116,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,295,2022-01-20 11:26:52:337
0.032,3.3867,10.5111,-0.5277,3.7349,9.0522,-0.3053,0.1184,0.1969,-0.949,-0.3076,1.0116,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,300,2022-01-20 11:26:52:342
0.032,3.3867,10.5111,-0.5277,3.7349,9.0522,-0.3053,0.1184,0.1969,-0.949,-0.3076,1.0116,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,305,2022-01-20 11:26:52:347
0.032,3.3867,10.5111,-0.5277,3.7349,9.0522,-0.3053,0.1184,0.1969,-0.949,-0.3076,1.0116,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,310,2022-01-20 11:26:52:352
0.032,3.3867,10.5111,-0.5277,3.7349,9.0522,-0.3053,0.1184,0.1969,-0.949,-0.3076,1.0116,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,315,2022-01-20 11:26:52:357
0.032,3.3867,10.5111,-0.5277,3.7349,9.0522,-0.3053,0.1184,0.1969,-0.949,-0.3076,1.0116,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,320,2022-01-20 11:26:52:362
0.032,3.3867,10.5111,-0.5277,3.7349,9.0522,-0.3053,0.1184,0.1969,-0.949,-0.3076,1.0116,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,325,2022-01-20 11:26:52:367
0.032,3.3867,10.5111,-0.5277,3.7349,9.0522,-0.3053,0.1184,0.1969,-0.949,-0.3076,1.0116,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,331,2022-01-20 11:26:52:373
0.032,3.3867,10.5111,-0.5277,3.7349,9.0522,-0.3053,0.1184,0.1969,-0.949,-0.3076,1.0116,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,335,2022-01-20 11:26:52:377
0.032,3.3867,10.5111,-0.5277,3.7349,9.0522,-0.3053,0.1184,0.1969,-0.949,-0.3076,1.0116,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,340,2022-01-20 11:26:52:382
0.032,3.3867,10.5111,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.949,-0.3076,1.0116,7.35,35.25,-41.85,357.94,-24.49,7.07,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,345,2022-01-20 11:26:52:387
0.032,3.3867,10.5111,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.949,-0.3076,1.0116,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,350,2022-01-20 11:26:52:392
0.032,3.3867,10.5111,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.949,-0.3076,1.0116,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,355,2022-01-20 11:26:52:397
0.032,3.3867,10.5111,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.949,-0.3076,1.0116,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,360,2022-01-20 11:26:52:402
0.032,3.3867,10.5111,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.949,-0.3076,1.0116,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,365,2022-01-20 11:26:52:407
0.032,3.3867,10.5111,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.949,-0.3076,1.0116,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,370,2022-01-20 11:26:52:412
0.2907,2.8753,9.7062,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.949,-0.3076,1.0116,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,378,2022-01-20 11:26:52:420
0.2907,2.8753,9.7062,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.949,-0.3076,1.0116,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,381,2022-01-20 11:26:52:423
0.2907,2.8753,9.7062,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.949,-0.3076,1.0116,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,385,2022-01-20 11:26:52:427
0.2907,2.8753,9.7062,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.949,-0.3076,1.0116,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,390,2022-01-20 11:26:52:432
0.2907,2.8753,9.7062,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.949,-0.3076,1.0116,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,395,2022-01-20 11:26:52:437
0.2907,2.8753,9.7062,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.949,-0.3076,1.0116,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,400,2022-01-20 11:26:52:442
0.2907,2.8753,9.7062,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.949,-0.3076,1.0116,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,405,2022-01-20 11:26:52:447
0.2907,2.8753,9.7062,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.949,-0.3076,1.0116,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,411,2022-01-20 11:26:52:453
0.2907,2.8753,9.7062,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.3632,-0.7106,0.8951,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,415,2022-01-20 11:26:52:457
0.2907,2.8753,9.7062,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.3632,-0.7106,0.8951,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,420,2022-01-20 11:26:52:462
0.2907,2.8753,9.7062,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.3632,-0.7106,0.8951,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,425,2022-01-20 11:26:52:467
0.2907,2.8753,9.7062,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.3632,-0.7106,0.8951,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,430,2022-01-20 11:26:52:472
2.068,2.8035,10.7471,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.3632,-0.7106,0.8951,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,435,2022-01-20 11:26:52:477
2.068,2.8035,10.7471,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.3632,-0.7106,0.8951,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,440,2022-01-20 11:26:52:482
2.068,2.8035,10.7471,-0.1477,3.199,9.269,0.0024,0.7497,0.2294,-0.3632,-0.7106,0.8951,6.9,35.93,-41.7,352.45,-19.04,0.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,445,2022-01-20 11:26:52:487
2.068,2.8035,10.7471,0.8007,2.9428,9.3204,0.5561,-0.0548,0.6234,-0.3632,-0.7106,0.8951,6.45,36.38,-42.07,348.43,-17.46,-4.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,452,2022-01-20 11:26:52:494
2.068,2.8035,10.7471,0.8007,2.9428,9.3204,0.5561,-0.0548,0.6234,-0.3632,-0.7106,0.8951,6.45,36.38,-42.07,348.43,-17.46,-4.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,455,2022-01-20 11:26:52:497
2.068,2.8035,10.7471,0.8007,2.9428,9.3204,0.5561,-0.0548,0.6234,-0.3632,-0.7106,0.8951,6.45,36.38,-42.07,348.43,-17.46,-4.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,460,2022-01-20 11:26:52:502
2.068,2.8035,10.7471,0.8007,2.9428,9.3204,0.5561,-0.0548,0.6234,-0.3632,-0.7106,0.8951,6.45,36.38,-42.07,348.43,-17.46,-4.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,465,2022-01-20 11:26:52:507
2.068,2.8035,10.7471,0.8007,2.9428,9.3204,0.5561,-0.0548,0.6234,-0.3632,-0.7106,0.8951,6.45,36.38,-42.07,348.43,-17.46,-4.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,470,2022-01-20 11:26:52:512
2.068,2.8035,10.7471,0.8007,2.9428,9.3204,0.5561,-0.0548,0.6234,-0.3632,-0.7106,0.8951,6.45,36.38,-42.07,348.43,-17.46,-4.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,475,2022-01-20 11:26:52:517
2.068,2.8035,10.7471,0.8007,2.9428,9.3204,0.5561,-0.0548,0.6234,-0.3632,-0.7106,0.8951,6.45,36.38,-42.07,348.43,-17.46,-4.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,480,2022-01-20 11:26:52:522
2.068,2.8035,10.7471,0.8007,2.9428,9.3204,0.5561,-0.0548,0.6234,-0.3632,-0.7106,0.8951,6.45,36.38,-42.07,348.43,-17.46,-4.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,485,2022-01-20 11:26:52:527
2.068,2.8035,10.7471,0.8007,2.9428,9.3204,0.5561,-0.0548,0.6234,-0.3632,-0.7106,0.8951,6.45,36.38,-42.07,348.43,-17.46,-4.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,490,2022-01-20 11:26:52:532
1.3161,1.0475,9.3371,0.8007,2.9428,9.3204,0.5561,-0.0548,0.6234,-0.3632,-0.7106,0.8951,6.45,36.38,-42.07,348.43,-17.46,-4.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,495,2022-01-20 11:26:52:537
1.3161,1.0475,9.3371,0.8007,2.9428,9.3204,0.5561,-0.0548,0.6234,-0.3632,-0.7106,0.8951,6.45,36.38,-42.07,348.43,-17.46,-4.91,48.843872,2.353345,91.5,NaN,,11.721,,0 / 19,,500,2022-01-20 11:26:52:542
